Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Communication skills,Data Science,Troubleshooting skills,Graphics Designing,Role
Poor,Poor,Excellent,Excellent,Professional,Excellent,Average,Professional,Intermediate,Intermediate,Poor,Intermediate,Not Interested,Poor,Beginner,Intermediate,Excellent,Cyber Security Specialist
Poor,Not Interested,Intermediate,Excellent,Professional,Professional,Not Interested,Beginner,Intermediate,Average,Beginner,Beginner,Beginner,Poor,Poor,Beginner,Professional,Cyber Security Specialist
Not Interested,Average,Professional,Excellent,Professional,Excellent,Poor,Average,Intermediate,Intermediate,Poor,Average,Not Interested,Not Interested,Not Interested,Average,Not Interested,Cyber Security Specialist
Beginner,Not Interested,Intermediate,Excellent,Professional,Average,Not Interested,Beginner,Intermediate,Intermediate,Beginner,Professional,Average,Poor,Beginner,Beginner,Poor,Cyber Security Specialist
Not Interested,Average,Not Interested,Excellent,Professional,Beginner,Poor,Intermediate,Intermediate,Poor,Average,Poor,Intermediate,Poor,Not Interested,Intermediate,Intermediate,Cyber Security Specialist
Beginner,Professional,Not Interested,Excellent,Professional,Poor,Average,Average,Intermediate,Beginner,Beginner,Average,Average,Intermediate,Intermediate,Beginner,Not Interested,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Excellent,Professional,Not Interested,Poor,Beginner,Intermediate,Excellent,Not Interested,Not Interested,Poor,Beginner,Average,Average,Poor,Cyber Security Specialist
Average,Beginner,Intermediate,Excellent,Professional,Poor,Intermediate,Beginner,Intermediate,Average,Beginner,Beginner,Average,Professional,Not Interested,Excellent,Not Interested,Cyber Security Specialist
Intermediate,Not Interested,Intermediate,Excellent,Professional,Not Interested,Poor,Intermediate,Intermediate,Beginner,Average,Average,Poor,Beginner,Excellent,Average,Not Interested,Cyber Security Specialist
Average,Beginner,Beginner,Excellent,Professional,Not Interested,Excellent,Beginner,Intermediate,Average,Not Interested,Professional,Beginner,Poor,Average,Poor,Professional,Cyber Security Specialist
Beginner,Poor,Not Interested,Excellent,Professional,Average,Beginner,Average,Intermediate,Intermediate,Not Interested,Not Interested,Not Interested,Professional,Poor,Beginner,Intermediate,Cyber Security Specialist
Poor,Professional,Not Interested,Excellent,Professional,Excellent,Poor,Beginner,Intermediate,Average,Not Interested,Beginner,Beginner,Poor,Intermediate,Average,Average,Cyber Security Specialist
Intermediate,Not Interested,Professional,Excellent,Professional,Average,Intermediate,Poor,Intermediate,Not Interested,Average,Professional,Intermediate,Poor,Average,Average,Not Interested,Cyber Security Specialist
Beginner,Professional,Intermediate,Excellent,Professional,Beginner,Beginner,Poor,Intermediate,Poor,Average,Beginner,Poor,Average,Not Interested,Poor,Professional,Cyber Security Specialist
Intermediate,Professional,Not Interested,Excellent,Professional,Beginner,Beginner,Poor,Intermediate,Professional,Average,Average,Intermediate,Intermediate,Professional,Not Interested,Poor,Cyber Security Specialist
Intermediate,Not Interested,Intermediate,Excellent,Professional,Poor,Average,Average,Intermediate,Beginner,Beginner,Intermediate,Average,Intermediate,Professional,Poor,Professional,Cyber Security Specialist
Professional,Poor,Poor,Excellent,Professional,Not Interested,Poor,Average,Intermediate,Not Interested,Average,Professional,Poor,Not Interested,Not Interested,Poor,Excellent,Cyber Security Specialist
Average,Intermediate,Not Interested,Excellent,Professional,Poor,Beginner,Intermediate,Intermediate,Professional,Not Interested,Beginner,Not Interested,Professional,Not Interested,Average,Average,Cyber Security Specialist
Beginner,Beginner,Average,Excellent,Professional,Average,Beginner,Not Interested,Intermediate,Beginner,Not Interested,Average,Average,Poor,Beginner,Poor,Beginner,Cyber Security Specialist
Not Interested,Intermediate,Poor,Excellent,Professional,Poor,Professional,Average,Intermediate,Average,Intermediate,Not Interested,Professional,Intermediate,Average,Average,Average,Cyber Security Specialist
Average,Poor,Poor,Excellent,Professional,Not Interested,Poor,Beginner,Intermediate,Average,Average,Average,Intermediate,Poor,Beginner,Not Interested,Poor,Cyber Security Specialist
Average,Average,Beginner,Excellent,Professional,Not Interested,Beginner,Average,Intermediate,Professional,Average,Not Interested,Professional,Intermediate,Beginner,Average,Beginner,Cyber Security Specialist
Average,Poor,Excellent,Excellent,Professional,Average,Average,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Poor,Professional,Professional,Cyber Security Specialist
Average,Average,Average,Excellent,Professional,Beginner,Not Interested,Beginner,Intermediate,Average,Beginner,Beginner,Professional,Poor,Average,Professional,Intermediate,Cyber Security Specialist
Intermediate,Beginner,Average,Excellent,Professional,Not Interested,Not Interested,Average,Intermediate,Intermediate,Not Interested,Beginner,Not Interested,Average,Beginner,Beginner,Not Interested,Cyber Security Specialist
Professional,Poor,Poor,Excellent,Professional,Professional,Beginner,Poor,Intermediate,Beginner,Average,Professional,Poor,Beginner,Poor,Professional,Average,Cyber Security Specialist
Beginner,Average,Professional,Excellent,Professional,Excellent,Beginner,Not Interested,Intermediate,Poor,Intermediate,Poor,Not Interested,Professional,Beginner,Excellent,Intermediate,Cyber Security Specialist
Beginner,Professional,Average,Excellent,Professional,Beginner,Intermediate,Average,Intermediate,Average,Beginner,Professional,Average,Average,Poor,Intermediate,Beginner,Cyber Security Specialist
Not Interested,Professional,Intermediate,Excellent,Professional,Excellent,Average,Excellent,Intermediate,Beginner,Intermediate,Beginner,Poor,Average,Beginner,Average,Poor,Cyber Security Specialist
Beginner,Excellent,Not Interested,Excellent,Professional,Not Interested,Beginner,Intermediate,Intermediate,Not Interested,Beginner,Not Interested,Average,Intermediate,Intermediate,Average,Excellent,Cyber Security Specialist
Not Interested,Intermediate,Intermediate,Excellent,Professional,Excellent,Average,Intermediate,Intermediate,Professional,Beginner,Professional,Intermediate,Excellent,Beginner,Average,Professional,Cyber Security Specialist
Average,Poor,Beginner,Excellent,Professional,Excellent,Professional,Not Interested,Intermediate,Intermediate,Excellent,Not Interested,Average,Professional,Not Interested,Average,Intermediate,Cyber Security Specialist
Average,Beginner,Beginner,Excellent,Professional,Not Interested,Beginner,Intermediate,Intermediate,Average,Poor,Professional,Beginner,Poor,Intermediate,Average,Poor,Cyber Security Specialist
Average,Poor,Average,Excellent,Professional,Beginner,Beginner,Intermediate,Intermediate,Professional,Intermediate,Average,Professional,Average,Not Interested,Poor,Average,Cyber Security Specialist
Average,Beginner,Not Interested,Excellent,Professional,Intermediate,Beginner,Average,Intermediate,Intermediate,Average,Beginner,Poor,Not Interested,Intermediate,Not Interested,Professional,Cyber Security Specialist
Average,Poor,Average,Excellent,Professional,Average,Average,Not Interested,Intermediate,Average,Intermediate,Professional,Excellent,Poor,Poor,Professional,Excellent,Cyber Security Specialist
Beginner,Professional,Beginner,Excellent,Professional,Average,Beginner,Not Interested,Intermediate,Intermediate,Intermediate,Average,Beginner,Intermediate,Average,Beginner,Beginner,Cyber Security Specialist
Poor,Beginner,Professional,Excellent,Professional,Average,Not Interested,Poor,Intermediate,Professional,Average,Beginner,Not Interested,Professional,Poor,Poor,Average,Cyber Security Specialist
Poor,Poor,Poor,Excellent,Professional,Poor,Average,Intermediate,Intermediate,Average,Not Interested,Not Interested,Professional,Beginner,Beginner,Poor,Poor,Cyber Security Specialist
Poor,Excellent,Beginner,Excellent,Professional,Beginner,Poor,Not Interested,Intermediate,Not Interested,Intermediate,Excellent,Excellent,Poor,Not Interested,Poor,Intermediate,Cyber Security Specialist
Beginner,Intermediate,Beginner,Excellent,Professional,Not Interested,Beginner,Average,Intermediate,Poor,Not Interested,Intermediate,Average,Intermediate,Not Interested,Professional,Average,Cyber Security Specialist
Average,Beginner,Intermediate,Excellent,Professional,Average,Average,Not Interested,Intermediate,Intermediate,Excellent,Excellent,Average,Professional,Excellent,Average,Not Interested,Cyber Security Specialist
Intermediate,Beginner,Average,Excellent,Professional,Professional,Average,Not Interested,Intermediate,Average,Not Interested,Intermediate,Beginner,Intermediate,Excellent,Average,Not Interested,Cyber Security Specialist
Excellent,Beginner,Poor,Excellent,Professional,Poor,Average,Not Interested,Intermediate,Excellent,Intermediate,Intermediate,Beginner,Intermediate,Poor,Beginner,Intermediate,Cyber Security Specialist
Average,Excellent,Average,Excellent,Professional,Professional,Intermediate,Average,Intermediate,Poor,Professional,Not Interested,Professional,Poor,Average,Average,Beginner,Cyber Security Specialist
Not Interested,Average,Beginner,Excellent,Professional,Not Interested,Intermediate,Intermediate,Intermediate,Not Interested,Average,Beginner,Average,Professional,Poor,Professional,Beginner,Cyber Security Specialist
Poor,Average,Intermediate,Excellent,Professional,Not Interested,Beginner,Professional,Intermediate,Not Interested,Professional,Beginner,Not Interested,Average,Poor,Average,Beginner,Cyber Security Specialist
Not Interested,Not Interested,Intermediate,Excellent,Professional,Intermediate,Excellent,Average,Intermediate,Not Interested,Intermediate,Intermediate,Beginner,Not Interested,Beginner,Not Interested,Professional,Cyber Security Specialist
Intermediate,Professional,Poor,Excellent,Professional,Intermediate,Not Interested,Beginner,Intermediate,Average,Not Interested,Average,Beginner,Poor,Intermediate,Beginner,Intermediate,Cyber Security Specialist
Not Interested,Average,Excellent,Excellent,Professional,Average,Average,Professional,Intermediate,Not Interested,Beginner,Excellent,Professional,Excellent,Not Interested,Not Interested,Beginner,Cyber Security Specialist
Intermediate,Beginner,Excellent,Excellent,Professional,Intermediate,Intermediate,Average,Intermediate,Intermediate,Not Interested,Average,Intermediate,Professional,Not Interested,Professional,Not Interested,Cyber Security Specialist
Beginner,Poor,Not Interested,Excellent,Professional,Poor,Beginner,Intermediate,Intermediate,Not Interested,Average,Professional,Average,Poor,Beginner,Professional,Beginner,Cyber Security Specialist
Beginner,Beginner,Not Interested,Excellent,Professional,Not Interested,Intermediate,Intermediate,Intermediate,Beginner,Average,Average,Average,Not Interested,Beginner,Beginner,Professional,Cyber Security Specialist
Poor,Not Interested,Average,Excellent,Professional,Beginner,Beginner,Average,Intermediate,Excellent,Not Interested,Not Interested,Average,Intermediate,Not Interested,Not Interested,Poor,Cyber Security Specialist
Excellent,Poor,Average,Excellent,Professional,Beginner,Average,Poor,Intermediate,Professional,Average,Intermediate,Professional,Intermediate,Average,Intermediate,Average,Cyber Security Specialist
Beginner,Professional,Beginner,Excellent,Professional,Beginner,Intermediate,Intermediate,Intermediate,Beginner,Not Interested,Average,Average,Not Interested,Average,Average,Intermediate,Cyber Security Specialist
Poor,Poor,Beginner,Excellent,Professional,Beginner,Average,Average,Intermediate,Intermediate,Poor,Intermediate,Not Interested,Poor,Poor,Average,Intermediate,Cyber Security Specialist
Intermediate,Intermediate,Average,Excellent,Professional,Intermediate,Not Interested,Poor,Intermediate,Beginner,Poor,Professional,Poor,Professional,Professional,Beginner,Professional,Cyber Security Specialist
Average,Intermediate,Beginner,Excellent,Professional,Beginner,Not Interested,Not Interested,Intermediate,Poor,Intermediate,Not Interested,Poor,Poor,Beginner,Not Interested,Beginner,Cyber Security Specialist
Not Interested,Beginner,Professional,Excellent,Professional,Not Interested,Not Interested,Poor,Intermediate,Average,Intermediate,Professional,Excellent,Beginner,Average,Average,Poor,Cyber Security Specialist
Poor,Intermediate,Poor,Excellent,Professional,Average,Professional,Excellent,Intermediate,Professional,Beginner,Not Interested,Intermediate,Professional,Beginner,Average,Beginner,Cyber Security Specialist
Beginner,Average,Average,Excellent,Professional,Not Interested,Average,Average,Intermediate,Not Interested,Poor,Not Interested,Beginner,Not Interested,Not Interested,Beginner,Average,Cyber Security Specialist
Average,Average,Beginner,Excellent,Professional,Not Interested,Professional,Beginner,Intermediate,Poor,Intermediate,Average,Not Interested,Excellent,Excellent,Average,Intermediate,Cyber Security Specialist
Intermediate,Excellent,Not Interested,Excellent,Professional,Not Interested,Beginner,Average,Intermediate,Beginner,Professional,Poor,Average,Average,Beginner,Average,Excellent,Cyber Security Specialist
Intermediate,Beginner,Not Interested,Excellent,Professional,Professional,Professional,Intermediate,Intermediate,Excellent,Excellent,Not Interested,Beginner,Average,Beginner,Excellent,Intermediate,Cyber Security Specialist
Not Interested,Poor,Professional,Excellent,Professional,Average,Average,Not Interested,Intermediate,Intermediate,Poor,Average,Professional,Average,Poor,Poor,Average,Cyber Security Specialist
Intermediate,Not Interested,Intermediate,Excellent,Professional,Beginner,Average,Beginner,Intermediate,Professional,Excellent,Poor,Average,Professional,Intermediate,Intermediate,Not Interested,Cyber Security Specialist
Beginner,Average,Beginner,Excellent,Professional,Poor,Beginner,Beginner,Intermediate,Not Interested,Average,Average,Professional,Beginner,Beginner,Average,Beginner,Cyber Security Specialist
Average,Beginner,Poor,Excellent,Professional,Beginner,Poor,Intermediate,Intermediate,Average,Average,Beginner,Average,Beginner,Average,Excellent,Intermediate,Cyber Security Specialist
Average,Poor,Beginner,Excellent,Professional,Not Interested,Average,Intermediate,Intermediate,Intermediate,Not Interested,Beginner,Not Interested,Beginner,Average,Beginner,Average,Cyber Security Specialist
Poor,Beginner,Not Interested,Excellent,Professional,Beginner,Professional,Average,Intermediate,Not Interested,Poor,Excellent,Poor,Professional,Poor,Poor,Professional,Cyber Security Specialist
Beginner,Average,Professional,Excellent,Professional,Beginner,Average,Poor,Intermediate,Professional,Poor,Intermediate,Professional,Not Interested,Intermediate,Average,Poor,Cyber Security Specialist
Excellent,Excellent,Not Interested,Excellent,Professional,Not Interested,Average,Beginner,Intermediate,Beginner,Beginner,Beginner,Average,Beginner,Beginner,Average,Not Interested,Cyber Security Specialist
Average,Beginner,Beginner,Excellent,Professional,Average,Average,Beginner,Intermediate,Poor,Professional,Poor,Poor,Beginner,Intermediate,Poor,Intermediate,Cyber Security Specialist
Excellent,Poor,Intermediate,Excellent,Professional,Not Interested,Average,Excellent,Intermediate,Not Interested,Poor,Not Interested,Beginner,Beginner,Professional,Beginner,Not Interested,Cyber Security Specialist
Poor,Average,Beginner,Excellent,Professional,Average,Excellent,Poor,Intermediate,Average,Not Interested,Not Interested,Beginner,Beginner,Beginner,Poor,Beginner,Cyber Security Specialist
Professional,Beginner,Beginner,Excellent,Professional,Intermediate,Professional,Excellent,Intermediate,Excellent,Intermediate,Poor,Intermediate,Intermediate,Not Interested,Professional,Average,Cyber Security Specialist
Not Interested,Not Interested,Beginner,Excellent,Professional,Beginner,Excellent,Beginner,Intermediate,Professional,Not Interested,Average,Poor,Average,Beginner,Poor,Poor,Cyber Security Specialist
Excellent,Poor,Intermediate,Excellent,Professional,Intermediate,Professional,Beginner,Intermediate,Not Interested,Excellent,Excellent,Beginner,Poor,Excellent,Poor,Beginner,Cyber Security Specialist
Not Interested,Professional,Not Interested,Excellent,Professional,Average,Average,Professional,Intermediate,Poor,Not Interested,Beginner,Professional,Poor,Average,Average,Beginner,Cyber Security Specialist
Average,Poor,Poor,Excellent,Professional,Beginner,Average,Average,Intermediate,Poor,Average,Average,Beginner,Poor,Beginner,Average,Poor,Cyber Security Specialist
Professional,Average,Intermediate,Excellent,Professional,Beginner,Beginner,Beginner,Intermediate,Poor,Average,Intermediate,Average,Average,Poor,Poor,Intermediate,Cyber Security Specialist
Beginner,Average,Not Interested,Excellent,Professional,Poor,Average,Beginner,Intermediate,Excellent,Intermediate,Poor,Intermediate,Average,Average,Professional,Not Interested,Cyber Security Specialist
Professional,Not Interested,Beginner,Excellent,Professional,Intermediate,Beginner,Professional,Intermediate,Beginner,Beginner,Excellent,Not Interested,Poor,Not Interested,Intermediate,Excellent,Cyber Security Specialist
Not Interested,Poor,Poor,Excellent,Professional,Poor,Intermediate,Professional,Intermediate,Average,Beginner,Average,Average,Average,Beginner,Not Interested,Beginner,Cyber Security Specialist
Professional,Beginner,Professional,Excellent,Professional,Beginner,Poor,Average,Intermediate,Professional,Professional,Poor,Beginner,Beginner,Poor,Average,Professional,Cyber Security Specialist
Not Interested,Intermediate,Poor,Excellent,Professional,Intermediate,Beginner,Average,Intermediate,Poor,Excellent,Beginner,Professional,Not Interested,Average,Professional,Beginner,Cyber Security Specialist
Poor,Average,Average,Excellent,Professional,Intermediate,Beginner,Professional,Intermediate,Intermediate,Excellent,Poor,Professional,Average,Average,Average,Beginner,Cyber Security Specialist
Not Interested,Average,Not Interested,Excellent,Professional,Average,Intermediate,Intermediate,Intermediate,Not Interested,Beginner,Average,Average,Professional,Not Interested,Beginner,Average,Cyber Security Specialist
Poor,Average,Professional,Excellent,Professional,Professional,Poor,Intermediate,Intermediate,Poor,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Intermediate,Cyber Security Specialist
Excellent,Excellent,Average,Excellent,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Average,Beginner,Beginner,Beginner,Beginner,Not Interested,Average,Poor,Cyber Security Specialist
Beginner,Intermediate,Beginner,Excellent,Professional,Beginner,Professional,Beginner,Intermediate,Not Interested,Beginner,Average,Not Interested,Average,Intermediate,Not Interested,Beginner,Cyber Security Specialist
Poor,Poor,Beginner,Excellent,Professional,Excellent,Professional,Average,Intermediate,Intermediate,Poor,Not Interested,Poor,Intermediate,Intermediate,Beginner,Intermediate,Cyber Security Specialist
Average,Intermediate,Average,Excellent,Professional,Intermediate,Average,Poor,Intermediate,Excellent,Not Interested,Intermediate,Average,Poor,Intermediate,Average,Poor,Cyber Security Specialist
Poor,Beginner,Intermediate,Excellent,Professional,Not Interested,Beginner,Not Interested,Intermediate,Beginner,Beginner,Intermediate,Average,Not Interested,Average,Intermediate,Beginner,Cyber Security Specialist
Average,Intermediate,Poor,Excellent,Professional,Intermediate,Not Interested,Average,Intermediate,Beginner,Beginner,Not Interested,Average,Average,Poor,Beginner,Poor,Cyber Security Specialist
Beginner,Poor,Beginner,Excellent,Professional,Not Interested,Intermediate,Professional,Intermediate,Intermediate,Average,Poor,Professional,Not Interested,Average,Beginner,Beginner,Cyber Security Specialist
Beginner,Excellent,Not Interested,Excellent,Professional,Beginner,Average,Intermediate,Intermediate,Intermediate,Professional,Poor,Beginner,Beginner,Intermediate,Beginner,Poor,Cyber Security Specialist
Intermediate,Professional,Beginner,Excellent,Professional,Beginner,Beginner,Poor,Intermediate,Intermediate,Beginner,Average,Beginner,Beginner,Poor,Not Interested,Average,Cyber Security Specialist
Intermediate,Beginner,Intermediate,Excellent,Professional,Beginner,Professional,Beginner,Intermediate,Not Interested,Not Interested,Intermediate,Not Interested,Beginner,Professional,Not Interested,Beginner,Cyber Security Specialist
Professional,Intermediate,Poor,Excellent,Professional,Professional,Excellent,Poor,Intermediate,Poor,Excellent,Poor,Excellent,Excellent,Average,Beginner,Average,Cyber Security Specialist
Poor,Average,Not Interested,Excellent,Professional,Professional,Intermediate,Beginner,Intermediate,Not Interested,Professional,Average,Average,Beginner,Beginner,Intermediate,Professional,Cyber Security Specialist
Excellent,Poor,Not Interested,Excellent,Professional,Beginner,Average,Poor,Intermediate,Intermediate,Beginner,Poor,Average,Beginner,Professional,Poor,Excellent,Cyber Security Specialist
Average,Beginner,Poor,Excellent,Professional,Poor,Not Interested,Average,Intermediate,Beginner,Intermediate,Poor,Professional,Beginner,Beginner,Not Interested,Poor,Cyber Security Specialist
Poor,Intermediate,Not Interested,Excellent,Professional,Intermediate,Average,Beginner,Intermediate,Professional,Poor,Not Interested,Not Interested,Average,Poor,Not Interested,Average,Cyber Security Specialist
Poor,Beginner,Poor,Excellent,Professional,Not Interested,Poor,Beginner,Intermediate,Beginner,Intermediate,Intermediate,Not Interested,Not Interested,Not Interested,Beginner,Average,Cyber Security Specialist
Not Interested,Not Interested,Poor,Excellent,Professional,Intermediate,Not Interested,Average,Intermediate,Beginner,Not Interested,Average,Intermediate,Poor,Beginner,Average,Beginner,Cyber Security Specialist
Not Interested,Excellent,Not Interested,Excellent,Professional,Excellent,Average,Beginner,Intermediate,Intermediate,Professional,Average,Intermediate,Poor,Intermediate,Professional,Average,Cyber Security Specialist
Excellent,Beginner,Excellent,Excellent,Professional,Average,Average,Average,Intermediate,Not Interested,Beginner,Beginner,Excellent,Intermediate,Beginner,Poor,Beginner,Cyber Security Specialist
Not Interested,Not Interested,Beginner,Average,Excellent,Average,Average,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Beginner,Professional,Beginner,Professional,Average,Networking Engineer
Beginner,Intermediate,Professional,Average,Excellent,Not Interested,Not Interested,Intermediate,Average,Beginner,Poor,Professional,Poor,Professional,Average,Professional,Poor,Networking Engineer
Beginner,Beginner,Beginner,Average,Excellent,Professional,Beginner,Not Interested,Intermediate,Intermediate,Not Interested,Beginner,Average,Beginner,Intermediate,Professional,Beginner,Networking Engineer
Not Interested,Poor,Intermediate,Average,Excellent,Professional,Professional,Beginner,Average,Beginner,Poor,Not Interested,Intermediate,Poor,Beginner,Professional,Poor,Networking Engineer
Beginner,Beginner,Average,Average,Excellent,Average,Average,Beginner,Beginner,Average,Not Interested,Average,Average,Professional,Beginner,Professional,Professional,Networking Engineer
Average,Professional,Average,Average,Excellent,Average,Not Interested,Not Interested,Not Interested,Professional,Average,Average,Professional,Intermediate,Beginner,Professional,Average,Networking Engineer
Average,Average,Not Interested,Average,Excellent,Intermediate,Poor,Beginner,Intermediate,Professional,Intermediate,Intermediate,Average,Poor,Professional,Professional,Intermediate,Networking Engineer
Excellent,Average,Average,Average,Excellent,Intermediate,Beginner,Beginner,Professional,Intermediate,Intermediate,Intermediate,Professional,Not Interested,Professional,Professional,Average,Networking Engineer
Excellent,Intermediate,Not Interested,Average,Excellent,Professional,Intermediate,Beginner,Beginner,Poor,Professional,Beginner,Intermediate,Beginner,Intermediate,Professional,Beginner,Networking Engineer
Intermediate,Excellent,Not Interested,Average,Excellent,Not Interested,Average,Average,Professional,Not Interested,Beginner,Average,Professional,Beginner,Professional,Professional,Intermediate,Networking Engineer
Poor,Poor,Professional,Average,Excellent,Beginner,Average,Not Interested,Intermediate,Average,Professional,Average,Average,Not Interested,Beginner,Professional,Beginner,Networking Engineer
Average,Beginner,Poor,Average,Excellent,Intermediate,Professional,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Intermediate,Beginner,Average,Professional,Average,Networking Engineer
Professional,Average,Beginner,Average,Excellent,Beginner,Not Interested,Intermediate,Not Interested,Average,Average,Intermediate,Beginner,Average,Excellent,Professional,Intermediate,Networking Engineer
Poor,Average,Average,Average,Excellent,Intermediate,Not Interested,Average,Not Interested,Average,Not Interested,Average,Beginner,Not Interested,Poor,Professional,Intermediate,Networking Engineer
Beginner,Average,Poor,Average,Excellent,Average,Poor,Not Interested,Not Interested,Average,Beginner,Poor,Excellent,Intermediate,Intermediate,Professional,Beginner,Networking Engineer
Average,Excellent,Intermediate,Average,Excellent,Professional,Intermediate,Average,Beginner,Beginner,Poor,Professional,Average,Not Interested,Poor,Professional,Not Interested,Networking Engineer
Not Interested,Not Interested,Average,Average,Excellent,Beginner,Excellent,Not Interested,Beginner,Professional,Not Interested,Intermediate,Professional,Average,Average,Professional,Poor,Networking Engineer
Professional,Intermediate,Average,Average,Excellent,Intermediate,Poor,Average,Not Interested,Intermediate,Beginner,Beginner,Beginner,Excellent,Not Interested,Professional,Professional,Networking Engineer
Intermediate,Poor,Average,Average,Excellent,Excellent,Not Interested,Average,Intermediate,Professional,Beginner,Professional,Average,Poor,Not Interested,Professional,Intermediate,Networking Engineer
Intermediate,Not Interested,Excellent,Average,Excellent,Beginner,Intermediate,Average,Intermediate,Not Interested,Professional,Not Interested,Average,Poor,Intermediate,Professional,Intermediate,Networking Engineer
Intermediate,Poor,Professional,Average,Excellent,Beginner,Excellent,Excellent,Average,Professional,Excellent,Beginner,Beginner,Not Interested,Beginner,Professional,Intermediate,Networking Engineer
Average,Poor,Average,Average,Excellent,Beginner,Beginner,Beginner,Poor,Not Interested,Intermediate,Average,Beginner,Average,Average,Professional,Beginner,Networking Engineer
Not Interested,Poor,Average,Average,Excellent,Average,Average,Average,Excellent,Not Interested,Beginner,Poor,Average,Poor,Intermediate,Professional,Average,Networking Engineer
Beginner,Not Interested,Professional,Average,Excellent,Not Interested,Poor,Not Interested,Professional,Not Interested,Not Interested,Beginner,Poor,Intermediate,Intermediate,Professional,Average,Networking Engineer
Professional,Not Interested,Not Interested,Average,Excellent,Professional,Average,Average,Beginner,Intermediate,Beginner,Beginner,Beginner,Average,Average,Professional,Excellent,Networking Engineer
Average,Poor,Poor,Average,Excellent,Poor,Poor,Excellent,Intermediate,Intermediate,Beginner,Not Interested,Not Interested,Average,Average,Professional,Beginner,Networking Engineer
Not Interested,Excellent,Beginner,Average,Excellent,Average,Beginner,Intermediate,Beginner,Poor,Poor,Beginner,Beginner,Intermediate,Average,Professional,Average,Networking Engineer
Poor,Intermediate,Average,Average,Excellent,Not Interested,Not Interested,Beginner,Beginner,Poor,Poor,Intermediate,Average,Not Interested,Not Interested,Professional,Beginner,Networking Engineer
Excellent,Intermediate,Not Interested,Average,Excellent,Poor,Professional,Beginner,Poor,Beginner,Beginner,Professional,Professional,Poor,Professional,Professional,Not Interested,Networking Engineer
Average,Beginner,Average,Average,Excellent,Average,Poor,Professional,Average,Beginner,Not Interested,Professional,Not Interested,Average,Poor,Professional,Not Interested,Networking Engineer
Intermediate,Poor,Professional,Average,Excellent,Intermediate,Professional,Intermediate,Not Interested,Beginner,Intermediate,Poor,Professional,Beginner,Not Interested,Professional,Beginner,Networking Engineer
Not Interested,Not Interested,Beginner,Average,Excellent,Average,Not Interested,Professional,Not Interested,Not Interested,Professional,Average,Average,Beginner,Intermediate,Professional,Professional,Networking Engineer
Intermediate,Not Interested,Excellent,Average,Excellent,Beginner,Beginner,Average,Beginner,Poor,Beginner,Not Interested,Average,Average,Average,Professional,Professional,Networking Engineer
Not Interested,Not Interested,Beginner,Average,Excellent,Average,Professional,Beginner,Average,Beginner,Professional,Professional,Beginner,Average,Beginner,Professional,Professional,Networking Engineer
Intermediate,Average,Professional,Average,Excellent,Intermediate,Intermediate,Not Interested,Average,Professional,Poor,Beginner,Beginner,Professional,Intermediate,Professional,Average,Networking Engineer
Professional,Intermediate,Average,Average,Excellent,Not Interested,Professional,Beginner,Poor,Intermediate,Poor,Poor,Not Interested,Average,Intermediate,Professional,Not Interested,Networking Engineer
Poor,Professional,Poor,Average,Excellent,Not Interested,Average,Average,Poor,Excellent,Average,Professional,Average,Beginner,Average,Professional,Professional,Networking Engineer
Intermediate,Average,Beginner,Average,Excellent,Poor,Not Interested,Professional,Poor,Beginner,Average,Intermediate,Poor,Beginner,Intermediate,Professional,Professional,Networking Engineer
Intermediate,Poor,Intermediate,Average,Excellent,Intermediate,Average,Beginner,Average,Professional,Not Interested,Intermediate,Professional,Average,Poor,Professional,Excellent,Networking Engineer
Average,Intermediate,Poor,Average,Excellent,Beginner,Average,Beginner,Average,Intermediate,Poor,Average,Professional,Average,Professional,Professional,Beginner,Networking Engineer
Intermediate,Intermediate,Average,Average,Excellent,Professional,Not Interested,Beginner,Intermediate,Average,Beginner,Not Interested,Excellent,Beginner,Not Interested,Professional,Intermediate,Networking Engineer
Average,Beginner,Average,Average,Excellent,Beginner,Excellent,Intermediate,Poor,Poor,Average,Intermediate,Intermediate,Poor,Poor,Professional,Beginner,Networking Engineer
Intermediate,Beginner,Beginner,Average,Excellent,Excellent,Average,Beginner,Average,Intermediate,Professional,Beginner,Intermediate,Beginner,Poor,Professional,Not Interested,Networking Engineer
Excellent,Intermediate,Poor,Average,Excellent,Beginner,Poor,Intermediate,Average,Average,Beginner,Intermediate,Average,Excellent,Excellent,Professional,Intermediate,Networking Engineer
Professional,Average,Average,Average,Excellent,Not Interested,Average,Professional,Poor,Average,Not Interested,Average,Professional,Not Interested,Average,Professional,Beginner,Networking Engineer
Professional,Beginner,Not Interested,Average,Excellent,Beginner,Not Interested,Excellent,Beginner,Beginner,Average,Not Interested,Average,Intermediate,Poor,Professional,Intermediate,Networking Engineer
